tier1,tier2,tier3,explanation
Joining,,,Manufacturing processes that permanently or semi-permanently connect two or more parts together to form a single assembly or product
Joining,Welding,,Fusion joining process that melts and joins metals or thermoplastics using heat and sometimes pressure to create a permanent bond
Joining,Welding,Arc,Electric arc welding that uses electrical current to create an arc between an electrode and base material generating intense heat to melt and join metals
Joining,Welding,Oxyfuel gas,Welding process using combustion of fuel gases (typically acetylene) mixed with oxygen to generate flame heat for melting and joining metals
Joining,Welding,Electric Resistance Welding,Welding process that uses electrical resistance heating combined with pressure to join metals where current passes through the workpieces creating localized heating at the joint
Joining,Welding,Projection,Resistance welding variant using localized projections or embossments on workpieces to concentrate current flow and create spot welds at predetermined locations
Joining,Welding,Seam,Continuous resistance welding process using rotating wheel electrodes to create leak-tight longitudinal or circumferential seams in overlapping metal sheets
Joining,Welding,Upset welding,Resistance welding process that applies pressure to heat metals to forging temperature and then upsets (compresses) them together to form a solid-state joint
Joining,Welding,Percussion,High-speed welding process using rapid discharge of electrical energy to create an arc that melts the workpiece surfaces which are then rapidly brought together under pressure
Joining,Welding,Solid state welding,Joining process that bonds metals without melting them using pressure and sometimes heat below the melting point to achieve atomic bonding between surfaces
Joining,Welding,Electron beam welding,High-precision welding using a focused beam of high-velocity electrons to generate intense heat for deep penetration welds typically performed in vacuum chambers
Joining,Welding,Laser welding,High-precision welding using focused laser beam energy to melt and join materials with minimal heat-affected zones and high speed suitable for automated manufacturing
Joining,Welding,Thermite,Exothermic welding process using chemical reaction between metal oxide and aluminum to generate superheated molten metal for joining large sections like rails
Joining,Welding,Induction,Welding process using electromagnetic induction to generate heat in conductive materials for joining without direct contact with heating element
Joining,Welding,Solvent,Joining process for thermoplastics where solvent softens material surfaces allowing molecular diffusion and fusion when surfaces are pressed together as solvent evaporates
Joining,Welding,Magnetic pulse,Solid-state welding using high-intensity magnetic fields to accelerate one workpiece into another at high velocity creating a metallic bond through impact
Joining,Welding,Radio frequency welding,Welding process using radio frequency electromagnetic energy to heat and fuse thermoplastic materials particularly effective for PVC and polyurethane
Joining,Welding,Electro-magnetic,Welding process utilizing electromagnetic forces and induced currents to generate heat and pressure for joining conductive materials
