":START_ID",":END_ID",":TYPE"
"laptop_thinkpad_x1_carbon_gen_10","gpu_type_30xx","HAS_A_GPU"
"laptop_thinkpad_t14s_gen_3","gpu_type_30xx","HAS_A_GPU"
"laptop_thinkpad_p1_gen_5","gpu_type_40xx","HAS_A_GPU"
"laptop_thinkpad_e15_gen_4","gpu_type_30xx","HAS_A_GPU"
"laptop_thinkpad_x13_yoga","gpu_type_30xx","HAS_A_GPU"
"laptop_xps_13_plus_developer_edition","gpu_type_40xx","HAS_A_GPU"
"laptop_xps_15_oled_creator","gpu_type_40xx","HAS_A_GPU"
"laptop_xps_17_workstation","gpu_type_50xx","HAS_A_GPU"
"laptop_xps_13_2_in_1","gpu_type_30xx","HAS_A_GPU"
"laptop_xps_15_studio","gpu_type_40xx","HAS_A_GPU"
"laptop_elitebook_840_g9","gpu_type_30xx","HAS_A_GPU"
"laptop_elitebook_x360_1040_g9","gpu_type_30xx","HAS_A_GPU"
"laptop_elitebook_850_g9","gpu_type_30xx","HAS_A_GPU"
"laptop_elitebook_1030_x360_g4","gpu_type_30xx","HAS_A_GPU"
"laptop_elitebook_855_g8","gpu_type_30xx","HAS_A_GPU"
"laptop_macbook_pro_13_inch_m2","gpu_type_30xx","HAS_A_GPU"
"laptop_macbook_pro_16_inch_m2_max","gpu_type_50xx","HAS_A_GPU"
"laptop_macbook_air_m2","gpu_type_30xx","HAS_A_GPU"
"laptop_macbook_pro_14_inch_m2_pro","gpu_type_40xx","HAS_A_GPU"
"laptop_macbook_pro_13_inch_m1","gpu_type_30xx","HAS_A_GPU"
"laptop_zenbook_pro_16x_oled","gpu_type_50xx","HAS_A_GPU"
"laptop_zenbook_14_oled","gpu_type_40xx","HAS_A_GPU"
"laptop_zenbook_flip_13_ux363","gpu_type_30xx","HAS_A_GPU"
"laptop_zenbook_13_ux325","gpu_type_30xx","HAS_A_GPU"
"laptop_zenbook_pro_15_oled","gpu_type_40xx","HAS_A_GPU"
"laptop_msi_ge76_raider","gpu_type_50xx","HAS_A_GPU"
"laptop_msi_gs66_stealth","gpu_type_50xx","HAS_A_GPU"
"laptop_msi_katana_gf66","gpu_type_40xx","HAS_A_GPU"
"laptop_msi_creator_z16p","gpu_type_40xx","HAS_A_GPU"
"laptop_msi_prestige_14_evo","gpu_type_30xx","HAS_A_GPU"
"laptop_razer_blade_15_advanced","gpu_type_50xx","HAS_A_GPU"
"laptop_razer_blade_17","gpu_type_50xx","HAS_A_GPU"
"laptop_razer_blade_14","gpu_type_40xx","HAS_A_GPU"
"laptop_razer_blade_stealth_13","gpu_type_30xx","HAS_A_GPU"
"laptop_razer_book_13","gpu_type_30xx","HAS_A_GPU"
"laptop_acer_aspire_5_a515","gpu_type_30xx","HAS_A_GPU"
"laptop_acer_swift_3_sf314","gpu_type_30xx","HAS_A_GPU"
"laptop_acer_predator_helios_300","gpu_type_40xx","HAS_A_GPU"
"laptop_acer_nitro_5_an515","gpu_type_40xx","HAS_A_GPU"
"laptop_acer_conceptd_7","gpu_type_50xx","HAS_A_GPU"
"laptop_ideapad_gaming_3","gpu_type_40xx","HAS_A_GPU"
"laptop_legion_5_pro","gpu_type_50xx","HAS_A_GPU"
"laptop_ideapad_slim_7","gpu_type_30xx","HAS_A_GPU"
"laptop_yoga_9i_2_in_1","gpu_type_40xx","HAS_A_GPU"
"laptop_thinkbook_14s_yoga","gpu_type_30xx","HAS_A_GPU"
"laptop_inspiron_15_3000","gpu_type_30xx","HAS_A_GPU"
"laptop_inspiron_14_5000_2_in_1","gpu_type_30xx","HAS_A_GPU"
"laptop_alienware_m15_r7","gpu_type_50xx","HAS_A_GPU"
"laptop_latitude_9430_2_in_1","gpu_type_40xx","HAS_A_GPU"
"laptop_vostro_15_3000","gpu_type_30xx","HAS_A_GPU"
"laptop_pavilion_gaming_15","gpu_type_40xx","HAS_A_GPU"
"laptop_omen_16","gpu_type_50xx","HAS_A_GPU"
"laptop_envy_x360_15","gpu_type_30xx","HAS_A_GPU"
"laptop_probook_450_g9","gpu_type_30xx","HAS_A_GPU"
"laptop_spectre_x360_14","gpu_type_40xx","HAS_A_GPU"
"laptop_vivobook_pro_16x_oled","gpu_type_50xx","HAS_A_GPU"
"laptop_rog_strix_g15","gpu_type_40xx","HAS_A_GPU"
"laptop_tuf_gaming_f15","gpu_type_30xx","HAS_A_GPU"
"laptop_expertbook_b9","gpu_type_30xx","HAS_A_GPU"
"laptop_chromebook_flip_c436","gpu_type_30xx","HAS_A_GPU"
"laptop_acer_aspire_3_a315","gpu_type_30xx","HAS_A_GPU"
"laptop_hp_15_dy2000","gpu_type_30xx","HAS_A_GPU"
"laptop_lenovo_ideapad_3_15","gpu_type_30xx","HAS_A_GPU"
"laptop_dell_inspiron_15_3501","gpu_type_30xx","HAS_A_GPU"
"laptop_asus_vivobook_15_x515","gpu_type_30xx","HAS_A_GPU"
"laptop_acer_swift_x_sfx14","gpu_type_40xx","HAS_A_GPU"
"laptop_hp_envy_15","gpu_type_40xx","HAS_A_GPU"
"laptop_lenovo_legion_slim_7","gpu_type_50xx","HAS_A_GPU"
"laptop_dell_g15_gaming","gpu_type_40xx","HAS_A_GPU"
"laptop_asus_tuf_dash_f15","gpu_type_40xx","HAS_A_GPU"
"laptop_hp_zbook_studio_g9","gpu_type_50xx","HAS_A_GPU"
"laptop_dell_precision_7670","gpu_type_50xx","HAS_A_GPU"
"laptop_lenovo_thinkpad_p16","gpu_type_50xx","HAS_A_GPU"
"laptop_msi_ws66_workstation","gpu_type_50xx","HAS_A_GPU"
"laptop_asus_proart_studiobook_pro_x","gpu_type_50xx","HAS_A_GPU"
"laptop_lg_gram_17","gpu_type_30xx","HAS_A_GPU"
"laptop_samsung_galaxy_book2_pro","gpu_type_30xx","HAS_A_GPU"
"laptop_microsoft_surface_laptop_5","gpu_type_30xx","HAS_A_GPU"
"laptop_huawei_matebook_x_pro","gpu_type_40xx","HAS_A_GPU"
"laptop_xiaomi_mi_laptop_pro","gpu_type_40xx","HAS_A_GPU"
"laptop_gigabyte_aero_17","gpu_type_50xx","HAS_A_GPU"
"laptop_origin_pc_evo17_s","gpu_type_50xx","HAS_A_GPU"
"laptop_maingear_element","gpu_type_50xx","HAS_A_GPU"
"laptop_digital_storm_equinox","gpu_type_50xx","HAS_A_GPU"
"laptop_falcon_northwest_fragbook","gpu_type_50xx","HAS_A_GPU"
"laptop_hp_spectre_x360_16","gpu_type_40xx","HAS_A_GPU"
"laptop_dell_xps_13_2_in_1","gpu_type_30xx","HAS_A_GPU"
"laptop_lenovo_yoga_7i_16","gpu_type_40xx","HAS_A_GPU"
"laptop_asus_zenbook_pro_15_flip","gpu_type_50xx","HAS_A_GPU"
"laptop_surface_book_3","gpu_type_40xx","HAS_A_GPU"
"laptop_alienware_x17_r2","gpu_type_50xx","HAS_A_GPU"
"laptop_rog_zephyrus_g14","gpu_type_40xx","HAS_A_GPU"
"laptop_msi_gs77_stealth","gpu_type_50xx","HAS_A_GPU"
"laptop_razer_blade_pro_17","gpu_type_50xx","HAS_A_GPU"
"laptop_origin_pc_neuron","gpu_type_50xx","HAS_A_GPU"
"laptop_thinkpad_l15_gen_3","gpu_type_30xx","HAS_A_GPU"
"laptop_xps_13_developer","gpu_type_30xx","HAS_A_GPU"
"laptop_elitebook_845_g8","gpu_type_30xx","HAS_A_GPU"
"laptop_macbook_air_15_inch","gpu_type_30xx","HAS_A_GPU"
"laptop_zenbook_15_oled","gpu_type_40xx","HAS_A_GPU"
"laptop_aspire_7_a715","gpu_type_40xx","HAS_A_GPU"
"laptop_pavilion_15","gpu_type_30xx","HAS_A_GPU"
"laptop_ideapad_5_pro","gpu_type_40xx","HAS_A_GPU"
"laptop_inspiron_16_plus","gpu_type_40xx","HAS_A_GPU"
"laptop_rog_flow_x13","gpu_type_40xx","HAS_A_GPU"
"laptop_gaming_laptop_pro","gpu_type_50xx","HAS_A_GPU"
"laptop_business_elite","gpu_type_50xx","HAS_A_GPU"
"laptop_creator_studio","gpu_type_50xx","HAS_A_GPU"
"laptop_ultra_portable","gpu_type_30xx","HAS_A_GPU"
"laptop_student_special","gpu_type_30xx","HAS_A_GPU"
"laptop_rog_strix_scar_18","gpu_type_20xx","HAS_A_GPU"
"laptop_alienware_area_51m_r3","gpu_type_20xx","HAS_A_GPU"
"laptop_msi_titan_gt77","gpu_type_20xx","HAS_A_GPU"
"laptop_razer_blade_18","gpu_type_20xx","HAS_A_GPU"
"laptop_origin_pc_millennium","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_zbook_fury_g9","gpu_type_20xx","HAS_A_GPU"
"laptop_dell_precision_7770","gpu_type_20xx","HAS_A_GPU"
"laptop_lenovo_thinkpad_p17","gpu_type_20xx","HAS_A_GPU"
"laptop_msi_ws75_workstation","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_proart_studiobook_h7","gpu_type_20xx","HAS_A_GPU"
"laptop_razer_blade_14_ultimate","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_rog_zephyrus_g15","gpu_type_20xx","HAS_A_GPU"
"laptop_msi_gs66_stealth_ultimate","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_omen_17_flagship","gpu_type_20xx","HAS_A_GPU"
"laptop_dell_g17_gaming_elite","gpu_type_20xx","HAS_A_GPU"
"laptop_lg_gram_16_pro","gpu_type_20xx","HAS_A_GPU"
"laptop_samsung_galaxy_book3_ultra","gpu_type_20xx","HAS_A_GPU"
"laptop_microsoft_surface_laptop_studio_2","gpu_type_20xx","HAS_A_GPU"
"laptop_huawei_matebook_16s","gpu_type_20xx","HAS_A_GPU"
"laptop_xiaomi_redmibook_pro_15","gpu_type_20xx","HAS_A_GPU"
"laptop_apple_macbook_pro_16_m3_max","gpu_type_20xx","HAS_A_GPU"
"laptop_gigabyte_aero_16_creator","gpu_type_20xx","HAS_A_GPU"
"laptop_msi_creatorpro_z16p","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_proart_studiobook_16","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_zbook_create_g10","gpu_type_20xx","HAS_A_GPU"
"laptop_acer_predator_triton_500_se","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_tuf_gaming_a17","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_victus_16","gpu_type_20xx","HAS_A_GPU"
"laptop_lenovo_legion_7i","gpu_type_20xx","HAS_A_GPU"
"laptop_dell_alienware_m16","gpu_type_20xx","HAS_A_GPU"
"laptop_razer_blade_stealth_13_v2","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_zenbook_s13_oled","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_spectre_x360_14","gpu_type_20xx","HAS_A_GPU"
"laptop_lenovo_thinkpad_x1_yoga_gen_8","gpu_type_20xx","HAS_A_GPU"
"laptop_dell_xps_15_oled","gpu_type_20xx","HAS_A_GPU"
"laptop_msi_katana_17","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_rog_strix_g17","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_omen_16_gaming","gpu_type_20xx","HAS_A_GPU"
"laptop_acer_nitro_17","gpu_type_20xx","HAS_A_GPU"
"laptop_lenovo_ideapad_gaming_3i","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_elitebook_860_g10","gpu_type_20xx","HAS_A_GPU"
"laptop_dell_latitude_7440","gpu_type_20xx","HAS_A_GPU"
"laptop_lenovo_thinkpad_t16_gen_2","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_expertbook_b7","gpu_type_20xx","HAS_A_GPU"
"laptop_acer_travelmate_p6","gpu_type_20xx","HAS_A_GPU"
"laptop_microsoft_surface_studio_laptop","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_spectre_fold","gpu_type_20xx","HAS_A_GPU"
"laptop_lenovo_thinkpad_x1_fold_gen_2","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_zenbook_pro_16x_fold","gpu_type_20xx","HAS_A_GPU"
"laptop_dell_concept_luna","gpu_type_20xx","HAS_A_GPU"
"laptop_samsung_galaxy_book4_pro","gpu_type_20xx","HAS_A_GPU"
"laptop_lg_gram_style_16","gpu_type_20xx","HAS_A_GPU"
"laptop_huawei_matebook_x_pro_2024","gpu_type_20xx","HAS_A_GPU"
"laptop_xiaomi_mi_book_air_13","gpu_type_20xx","HAS_A_GPU"
"laptop_honor_magicbook_pro_16","gpu_type_20xx","HAS_A_GPU"
"laptop_framework_laptop_16","gpu_type_20xx","HAS_A_GPU"
"laptop_system76_oryx_pro","gpu_type_20xx","HAS_A_GPU"
"laptop_purism_librem_15","gpu_type_20xx","HAS_A_GPU"
"laptop_pine64_pinebook_pro_plus","gpu_type_20xx","HAS_A_GPU"
"laptop_star_labs_starbook","gpu_type_20xx","HAS_A_GPU"
"laptop_acer_aspire_5_pro","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_pavilion_plus_14","gpu_type_20xx","HAS_A_GPU"
"laptop_lenovo_ideapad_slim_5i_pro","gpu_type_20xx","HAS_A_GPU"
"laptop_dell_inspiron_15_plus","gpu_type_20xx","HAS_A_GPU"
"laptop_asus_vivobook_pro_16","gpu_type_20xx","HAS_A_GPU"
"laptop_panasonic_toughbook_55","gpu_type_20xx","HAS_A_GPU"
"laptop_getac_s410","gpu_type_20xx","HAS_A_GPU"
"laptop_durabook_s15","gpu_type_20xx","HAS_A_GPU"
"laptop_dell_latitude_5430_rugged","gpu_type_20xx","HAS_A_GPU"
"laptop_hp_elite_dragonfly_g4","gpu_type_20xx","HAS_A_GPU"
"laptop_msi_bravo_17","gpu_type_20xx","HAS_A_GPU"
