batch,rows_processed,rows_kept,rows_rejected,avg_chars_before,avg_chars_after,percent_reduction,paragraphs_removed,sentences_removed
Batch 1,10000,9943,57,32321,17470,45.9,0,585148
Batch 2,10000,9940,60,32542,17511,46.2,0,580677
Batch 3,10000,9950,50,32809,17628,46.3,0,601018
Batch 4,10000,9953,47,32708,17564,46.3,0,599332
Batch 5,10000,9950,50,32909,17691,46.2,0,588359
Batch 6,10000,9946,54,32654,17645,46.0,0,607632
Batch 7,10000,9952,48,32135,17392,45.9,0,580156
Batch 8,10000,9948,52,32574,17555,46.1,0,590935
Batch 9,10000,9937,63,32539,17367,46.6,0,604668
Batch 10,10000,9933,67,32706,17569,46.3,0,591094
Batch 11,10000,9946,54,32435,17440,46.2,0,580196
Batch 12,10000,9957,43,32317,17429,46.1,0,586137
Batch 13,10000,9941,59,32328,17426,46.1,0,577778
Batch 14,10000,9948,52,32439,17397,46.4,0,593083
Batch 15,10000,9947,53,32097,17384,45.8,0,581424
Batch 16,10000,9915,85,32373,17525,45.9,0,585783
Batch 17,10000,9946,54,32523,17507,46.2,0,586662
Batch 18,10000,9952,48,32340,17384,46.2,0,580097
Batch 19,10000,9945,55,32548,17471,46.3,0,597755
Batch 20,10000,9945,55,32105,17214,46.4,0,587002
Batch 21,10000,9940,60,32407,17472,46.1,0,584224
Batch 22,10000,9940,60,32520,17535,46.1,0,590780
Batch 23,10000,9943,57,32787,17663,46.1,0,606953
Batch 24,10000,9941,59,32428,17471,46.1,0,586618
Batch 25,10000,9949,51,32536,17682,45.7,0,592692
Batch 26,10000,9935,65,32445,17532,46.0,0,579852
Batch 27,10000,9951,49,32680,17568,46.2,0,597716
Batch 28,10000,9939,61,32801,17627,46.3,0,605277
Batch 29,10000,9938,62,32727,17628,46.1,0,592111
Batch 30,10000,9953,47,32663,17630,46.0,0,588008
Batch 31,10000,9940,60,32284,17498,45.8,0,580935
Batch 32,10000,9952,48,32199,17473,45.7,0,571557
Batch 33,10000,9955,45,32388,17617,45.6,0,579434
Batch 34,10000,9941,59,32356,17448,46.1,0,592775
Batch 35,10000,9944,56,32508,17445,46.3,0,597894
Batch 36,10000,9943,57,32445,17466,46.2,0,591794
Batch 37,10000,9941,59,32832,17601,46.4,0,597925
Batch 38,10000,9938,62,32555,17521,46.2,0,589969
